File Name,Original File Size,Compressed Size,Compression Ratio,Compresssion Time,Decompression Time
DNACorpus1/chmpxx,121024,43516,2.781,60,22
DNACorpus1/chntxx,155844,58336,2.671,77,30
DNACorpus1/hehcmv,229354,85526,2.682,120,50
DNACorpus1/humdyst,38770,15300,2.534,20,16
DNACorpus1/humghcs,66495,25552,2.602,33,15
DNACorpus1/humhbb,73308,28134,2.606,35,23
DNACorpus1/humhdab,58864,22699,2.593,34,14
DNACorpus1/humprtb,56737,21902,2.59,32,19
DNACorpus1/mpomtcg,186609,70254,2.656,114,30
DNACorpus1/mtpacga,100314,36862,2.721,54,21
DNACorpus1/vaccg,191737,70067,2.736,96,28
