File.Name,Original.File.Size,Compression.Time,Compression.Ratio,Compressed.Size
DNACorpus1/chmpxx,121024,0.14,3.95,30608
DNACorpus1/chntxx,155844,0.13,3.85,40418
DNACorpus1/hehcmv,229354,0.13,3.86,59331
DNACorpus1/humdyst,38770,0.10,3.24,11966
DNACorpus1/humghcs,66495,0.13,5.56,11947
DNACorpus1/humhbb,73308,0.12,3.61,20281
DNACorpus1/humhdab,58864,0.12,3.56,16491
DNACorpus1/humprtb,56737,0.12,3.52,16094
DNACorpus1/mpomtcg,186609,0.14,3.84,48595
DNACorpus1/mtpacga,100314,0.14,3.84,26116
DNACorpus1/vaccg,191737,0.14,3.94,48582
