File.Name,Original.File.Size,Compression.Time,Compression.Ratio,Compressed.Size
../lzwcpp/DNACorpus1/chmpxx,121024,0.10,3.60,33599
../lzwcpp/DNACorpus1/chntxx,155844,0.10,3.49,44642
../lzwcpp/DNACorpus1/hehcmv,229354,0.14,3.50,65435
../lzwcpp/DNACorpus1/humdyst,38770,0.01,3.36,11529
../lzwcpp/DNACorpus1/humghcs,66495,0.01,5.15,12905
../lzwcpp/DNACorpus1/humhbb,73308,0.04,3.58,20433
../lzwcpp/DNACorpus1/humhdab,58864,0.02,3.61,16265
../lzwcpp/DNACorpus1/humprtb,56737,0.02,3.58,15841
../lzwcpp/DNACorpus1/mpomtcg,186609,0.11,3.50,53197
../lzwcpp/DNACorpus1/mtpacga,100314,0.07,3.58,27999
../lzwcpp/DNACorpus1/vaccg,191737,0.13,3.65,52496
